Card_ID,Account_ID,Card_Type,Issue_Date,Activation_Date,Card_Status,Card_Network,Expiry_Date,Replacement_Count,Block_Reason
CD000001,A0006282,Debit,2024-08-12 00:00:00,2024-08-16 00:00:00,Active,Mastercard,2029-08-12 00:00:00,0,
CD000002,A0005897,Debit,2026-06-05 00:00:00,2026-06-07 00:00:00,Active,Visa,2031-06-05 00:00:00,1,
CD000003,A0001818,Credit,2023-08-22 00:00:00,2023-08-27 00:00:00,Active,RuPay,2028-08-22 00:00:00,0,
CD000004,A0000968,Debit,2025-10-18 00:00:00,2025-10-22 00:00:00,Active,RuPay,2030-10-18 00:00:00,0,
CD000005,A0003592,Debit,2025-05-16 00:00:00,2025-05-21 00:00:00,Active,Mastercard,2030-05-16 00:00:00,0,
CD000006,A0002805,Debit,2022-06-08 00:00:00,2022-06-08 00:00:00,Active,RuPay,2027-06-08 00:00:00,0,
CD000007,A0005591,Debit,2024-06-02 00:00:00,2024-06-03 00:00:00,Active,RuPay,2029-06-02 00:00:00,1,
CD000008,A0001975,Credit,2023-08-10 00:00:00,2023-08-17 00:00:00,Active,RuPay,2028-08-10 00:00:00,1,
CD000009,A0002633,Credit,2022-08-14 00:00:00,2022-08-16 00:00:00,Active,Mastercard,2027-08-14 00:00:00,0,
CD000010,A0005408,Debit,2024-09-28 00:00:00,2024-10-05 00:00:00,Active,Mastercard,2029-09-28 00:00:00,0,
CD000011,A0003747,Debit,2025-03-30 00:00:00,2025-03-30 00:00:00,Blocked,RuPay,2030-03-30 00:00:00,0,Suspected Fraud
CD000012,A0002191,Debit,2024-01-15 00:00:00,2024-01-22 00:00:00,Active,Visa,2029-01-15 00:00:00,1,
CD000013,A0005203,Credit,2023-03-17 00:00:00,2023-03-24 00:00:00,Active,RuPay,2028-03-17 00:00:00,0,
CD000014,A0003346,Debit,2022-08-04 00:00:00,2022-08-05 00:00:00,Active,Mastercard,2027-08-04 00:00:00,2,
CD000015,A0006229,Credit,2025-02-22 00:00:00,2025-02-28 00:00:00,Active,RuPay,2030-02-22 00:00:00,0,
CD000016,A0000390,Debit,2023-07-12 00:00:00,2023-07-17 00:00:00,Active,Visa,2028-07-12 00:00:00,0,
CD000017,A0001750,Credit,2023-12-19 00:00:00,2023-12-22 00:00:00,Active,RuPay,2028-12-19 00:00:00,0,
CD000018,A0000520,Debit,2025-06-04 00:00:00,2025-06-05 00:00:00,Active,Visa,2030-06-04 00:00:00,0,
CD000019,A0006291,Credit,2024-06-25 00:00:00,2024-06-28 00:00:00,Expired,RuPay,2029-06-25 00:00:00,0,
CD000020,A0005497,Debit,2026-02-19 00:00:00,2026-02-26 00:00:00,Active,Mastercard,2031-02-19 00:00:00,0,
CD000021,A0000490,Debit,2025-04-24 00:00:00,2025-04-29 00:00:00,Active,Visa,2030-04-24 00:00:00,0,
CD000022,A0003254,Debit,2022-05-30 00:00:00,2022-06-01 00:00:00,Active,Visa,2027-05-30 00:00:00,0,
CD000023,A0002722,Debit,2024-11-22 00:00:00,2024-11-23 00:00:00,Active,RuPay,2029-11-22 00:00:00,1,
CD000024,A0002203,Credit,2023-07-27 00:00:00,2023-08-03 00:00:00,Active,Visa,2028-07-27 00:00:00,0,
CD000025,A0001579,Debit,2023-05-04 00:00:00,2023-05-10 00:00:00,Active,RuPay,2028-05-04 00:00:00,0,
CD000026,A0004408,Debit,2023-02-26 00:00:00,2023-02-28 00:00:00,Blocked,RuPay,2028-02-26 00:00:00,0,Suspected Fraud
CD000027,A0004560,Debit,2024-03-17 00:00:00,2024-03-22 00:00:00,Inactive,Mastercard,2029-03-17 00:00:00,0,
CD000028,A0003351,Debit,2022-01-19 00:00:00,2022-01-23 00:00:00,Active,Visa,2027-01-19 00:00:00,0,
CD000029,A0006248,Debit,2022-02-06 00:00:00,2022-02-06 00:00:00,Active,Visa,2027-02-06 00:00:00,0,
CD000030,A0003033,Debit,2024-08-22 00:00:00,2024-08-27 00:00:00,Active,Mastercard,2029-08-22 00:00:00,1,
CD000031,A0001558,Debit,2023-06-26 00:00:00,2023-06-30 00:00:00,Inactive,RuPay,2028-06-26 00:00:00,0,
CD000032,A0004826,Debit,2026-01-28 00:00:00,2026-01-29 00:00:00,Blocked,RuPay,2031-01-28 00:00:00,0,Lost
CD000033,A0004150,Debit,2023-12-19 00:00:00,2023-12-23 00:00:00,Active,Visa,2028-12-19 00:00:00,1,
CD000034,A0005766,Debit,2024-09-15 00:00:00,2024-09-21 00:00:00,Active,Mastercard,2029-09-15 00:00:00,0,
CD000035,A0004861,Debit,2022-11-10 00:00:00,2022-11-11 00:00:00,Expired,Mastercard,2027-11-10 00:00:00,0,
CD000036,A0002690,Debit,2023-02-25 00:00:00,2023-03-03 00:00:00,Active,RuPay,2028-02-25 00:00:00,0,
CD000037,A0005458,Debit,2025-11-08 00:00:00,2025-11-09 00:00:00,Expired,Mastercard,2030-11-08 00:00:00,1,
CD000038,A0001322,Debit,2024-05-17 00:00:00,2024-05-23 00:00:00,Active,RuPay,2029-05-17 00:00:00,0,
CD000039,A0001115,Debit,2025-01-22 00:00:00,2025-01-22 00:00:00,Active,Mastercard,2030-01-22 00:00:00,1,
CD000040,A0002724,Debit,2022-01-27 00:00:00,2022-01-27 00:00:00,Active,RuPay,2027-01-27 00:00:00,0,
CD000041,A0000919,Debit,2022-05-01 00:00:00,2022-05-04 00:00:00,Active,RuPay,2027-05-01 00:00:00,0,
CD000042,A0003168,Credit,2025-12-07 00:00:00,2025-12-12 00:00:00,Expired,RuPay,2030-12-07 00:00:00,0,
CD000043,A0003946,Debit,2024-07-20 00:00:00,2024-07-26 00:00:00,Inactive,Visa,2029-07-20 00:00:00,0,
CD000044,A0005531,Debit,2025-01-07 00:00:00,2025-01-08 00:00:00,Active,Visa,2030-01-07 00:00:00,0,
CD000045,A0005776,Debit,2026-03-06 00:00:00,2026-03-06 00:00:00,Expired,Visa,2031-03-06 00:00:00,0,
CD000046,A0003956,Debit,2022-11-23 00:00:00,2022-11-23 00:00:00,Expired,Visa,2027-11-23 00:00:00,1,
CD000047,A0002748,Debit,2025-03-23 00:00:00,2025-03-30 00:00:00,Active,Visa,2030-03-23 00:00:00,0,
CD000048,A0003236,Debit,2023-06-16 00:00:00,2023-06-16 00:00:00,Active,Visa,2028-06-16 00:00:00,0,
CD000049,A0005201,Credit,2024-10-05 00:00:00,2024-10-08 00:00:00,Active,Visa,2029-10-05 00:00:00,0,
CD000050,A0001668,Debit,2025-05-08 00:00:00,2025-05-14 00:00:00,Active,Visa,2030-05-08 00:00:00,0,
CD000051,A0003129,Debit,2025-12-09 00:00:00,2025-12-15 00:00:00,Active,Visa,2030-12-09 00:00:00,0,
CD000052,A0001231,Debit,2025-09-20 00:00:00,2025-09-26 00:00:00,Active,RuPay,2030-09-20 00:00:00,0,
CD000053,A0000543,Debit,2023-07-25 00:00:00,2023-07-30 00:00:00,Active,RuPay,2028-07-25 00:00:00,0,
CD000054,A0002298,Debit,2022-10-01 00:00:00,2022-10-01 00:00:00,Active,RuPay,2027-10-01 00:00:00,1,
CD000055,A0000387,Debit,2024-03-01 00:00:00,2024-03-08 00:00:00,Active,Visa,2029-03-01 00:00:00,1,
CD000056,A0001470,Debit,2022-03-14 00:00:00,2022-03-15 00:00:00,Active,Mastercard,2027-03-14 00:00:00,1,
CD000057,A0005774,Credit,2024-03-03 00:00:00,2024-03-09 00:00:00,Active,Visa,2029-03-03 00:00:00,0,
CD000058,A0005449,Debit,2023-03-22 00:00:00,2023-03-26 00:00:00,Inactive,RuPay,2028-03-22 00:00:00,0,
CD000059,A0000534,Debit,2025-07-18 00:00:00,2025-07-20 00:00:00,Active,Mastercard,2030-07-18 00:00:00,0,
CD000060,A0005847,Debit,2022-01-07 00:00:00,2022-01-13 00:00:00,Active,Mastercard,2027-01-07 00:00:00,0,
CD000061,A0005586,Debit,2024-05-01 00:00:00,2024-05-06 00:00:00,Active,Visa,2029-05-01 00:00:00,1,
CD000062,A0005337,Debit,2026-02-09 00:00:00,2026-02-11 00:00:00,Blocked,RuPay,2031-02-09 00:00:00,0,Suspected Fraud
CD000063,A0000879,Credit,2025-01-16 00:00:00,2025-01-19 00:00:00,Active,RuPay,2030-01-16 00:00:00,1,
CD000064,A0003868,Debit,2023-09-01 00:00:00,2023-09-01 00:00:00,Active,RuPay,2028-09-01 00:00:00,1,
CD000065,A0004643,Debit,2023-02-06 00:00:00,2023-02-09 00:00:00,Active,Mastercard,2028-02-06 00:00:00,1,
CD000066,A0003282,Debit,2025-08-09 00:00:00,2025-08-11 00:00:00,Blocked,RuPay,2030-08-09 00:00:00,1,Stolen
CD000067,A0000001,Credit,2023-03-16 00:00:00,2023-03-18 00:00:00,Active,Visa,2028-03-16 00:00:00,0,
CD000068,A0005403,Credit,2024-12-09 00:00:00,2024-12-11 00:00:00,Active,Mastercard,2029-12-09 00:00:00,0,
CD000069,A0005764,Credit,2024-09-09 00:00:00,2024-09-12 00:00:00,Active,Visa,2029-09-09 00:00:00,0,
CD000070,A0002152,Debit,2024-07-26 00:00:00,2024-08-02 00:00:00,Expired,Visa,2029-07-26 00:00:00,0,
CD000071,A0003769,Debit,2024-07-22 00:00:00,2024-07-29 00:00:00,Active,Mastercard,2029-07-22 00:00:00,0,
CD000072,A0003120,Debit,2023-01-03 00:00:00,2023-01-04 00:00:00,Active,Visa,2028-01-03 00:00:00,1,
CD000073,A0005640,Debit,2023-06-18 00:00:00,2023-06-24 00:00:00,Active,Visa,2028-06-18 00:00:00,0,
CD000074,A0000524,Debit,2023-01-22 00:00:00,2023-01-27 00:00:00,Active,RuPay,2028-01-22 00:00:00,0,
CD000075,A0006264,Debit,2025-06-26 00:00:00,2025-06-30 00:00:00,Blocked,Mastercard,2030-06-26 00:00:00,0,Lost
CD000076,A0002939,Debit,2024-04-30 00:00:00,2024-05-06 00:00:00,Active,Mastercard,2029-04-30 00:00:00,1,
CD000077,A0003379,Credit,2024-03-27 00:00:00,2024-03-31 00:00:00,Active,Visa,2029-03-27 00:00:00,0,
CD000078,A0001282,Debit,2025-06-12 00:00:00,2025-06-12 00:00:00,Active,Visa,2030-06-12 00:00:00,0,
CD000079,A0004931,Debit,2023-12-06 00:00:00,2023-12-09 00:00:00,Active,RuPay,2028-12-06 00:00:00,0,
CD000080,A0004901,Debit,2024-06-01 00:00:00,2024-06-03 00:00:00,Active,RuPay,2029-06-01 00:00:00,0,
CD000081,A0001135,Debit,2025-09-24 00:00:00,2025-09-29 00:00:00,Blocked,Visa,2030-09-24 00:00:00,0,Lost
CD000082,A0003425,Debit,2023-12-12 00:00:00,2023-12-14 00:00:00,Active,Mastercard,2028-12-12 00:00:00,0,
CD000083,A0002625,Credit,2022-06-04 00:00:00,2022-06-11 00:00:00,Inactive,RuPay,2027-06-04 00:00:00,1,
CD000084,A0003634,Debit,2022-02-01 00:00:00,2022-02-06 00:00:00,Inactive,Visa,2027-02-01 00:00:00,0,
CD000085,A0001291,Debit,2024-01-20 00:00:00,2024-01-25 00:00:00,Inactive,Visa,2029-01-20 00:00:00,2,
CD000086,A0004513,Debit,2024-03-21 00:00:00,2024-03-27 00:00:00,Active,Visa,2029-03-21 00:00:00,0,
CD000087,A0001640,Debit,2022-06-14 00:00:00,2022-06-14 00:00:00,Active,Mastercard,2027-06-14 00:00:00,2,
CD000088,A0006339,Debit,2022-12-15 00:00:00,2022-12-18 00:00:00,Active,Visa,2027-12-15 00:00:00,0,
CD000089,A0005552,Debit,2026-05-09 00:00:00,2026-05-16 00:00:00,Inactive,Mastercard,2031-05-09 00:00:00,0,
CD000090,A0003925,Debit,2024-03-27 00:00:00,2024-03-29 00:00:00,Blocked,Visa,2029-03-27 00:00:00,0,Customer Request
CD000091,A0006000,Debit,2025-07-07 00:00:00,2025-07-13 00:00:00,Active,RuPay,2030-07-07 00:00:00,1,
CD000092,A0001771,Debit,2023-02-26 00:00:00,2023-03-02 00:00:00,Active,Mastercard,2028-02-26 00:00:00,0,
CD000093,A0002470,Debit,2022-12-15 00:00:00,2022-12-16 00:00:00,Active,Visa,2027-12-15 00:00:00,0,
CD000094,A0001926,Credit,2023-07-28 00:00:00,2023-08-01 00:00:00,Active,Mastercard,2028-07-28 00:00:00,0,
CD000095,A0006185,Credit,2024-08-01 00:00:00,2024-08-07 00:00:00,Active,RuPay,2029-08-01 00:00:00,0,
CD000096,A0001700,Debit,2023-12-06 00:00:00,2023-12-12 00:00:00,Blocked,Visa,2028-12-06 00:00:00,0,Customer Request
CD000097,A0002700,Debit,2024-04-01 00:00:00,2024-04-08 00:00:00,Active,Visa,2029-04-01 00:00:00,0,
CD000098,A0003785,Debit,2025-09-16 00:00:00,2025-09-19 00:00:00,Active,Visa,2030-09-16 00:00:00,1,
CD000099,A0002774,Debit,2023-09-21 00:00:00,2023-09-23 00:00:00,Active,Mastercard,2028-09-21 00:00:00,1,
CD000100,A0003630,Debit,2023-11-12 00:00:00,2023-11-18 00:00:00,Blocked,Mastercard,2028-11-12 00:00:00,1,Suspected Fraud
CD000101,A0006376,Debit,2025-06-09 00:00:00,2025-06-15 00:00:00,Active,Mastercard,2030-06-09 00:00:00,0,
CD000102,A0005069,Credit,2025-01-15 00:00:00,2025-01-20 00:00:00,Active,RuPay,2030-01-15 00:00:00,0,
CD000103,A0005962,Debit,2025-01-04 00:00:00,2025-01-05 00:00:00,Active,RuPay,2030-01-04 00:00:00,0,
CD000104,A0003090,Debit,2023-09-26 00:00:00,2023-10-02 00:00:00,Active,Visa,2028-09-26 00:00:00,0,
CD000105,A0002244,Credit,2024-10-27 00:00:00,2024-11-03 00:00:00,Active,RuPay,2029-10-27 00:00:00,0,
CD000106,A0006394,Debit,2025-06-02 00:00:00,2025-06-05 00:00:00,Expired,Visa,2030-06-02 00:00:00,0,
CD000107,A0003433,Credit,2022-02-22 00:00:00,2022-02-22 00:00:00,Blocked,RuPay,2027-02-22 00:00:00,0,Suspected Fraud
CD000108,A0005266,Debit,2023-05-12 00:00:00,2023-05-19 00:00:00,Inactive,RuPay,2028-05-12 00:00:00,0,
CD000109,A0003970,Debit,2025-12-29 00:00:00,2025-12-31 00:00:00,Inactive,Mastercard,2030-12-29 00:00:00,0,
CD000110,A0003898,Debit,2026-05-23 00:00:00,2026-05-25 00:00:00,Expired,Mastercard,2031-05-23 00:00:00,1,
CD000111,A0005691,Credit,2026-05-05 00:00:00,2026-05-05 00:00:00,Active,Visa,2031-05-05 00:00:00,1,
CD000112,A0005386,Debit,2026-03-21 00:00:00,2026-03-26 00:00:00,Active,Mastercard,2031-03-21 00:00:00,0,
CD000113,A0000503,Debit,2022-09-19 00:00:00,2022-09-24 00:00:00,Active,Visa,2027-09-19 00:00:00,0,
CD000114,A0005033,Debit,2025-03-06 00:00:00,2025-03-08 00:00:00,Blocked,Mastercard,2030-03-06 00:00:00,0,Customer Request
CD000115,A0005339,Debit,2023-06-08 00:00:00,2023-06-08 00:00:00,Active,RuPay,2028-06-08 00:00:00,0,
CD000116,A0002416,Debit,2024-01-25 00:00:00,2024-01-27 00:00:00,Active,Visa,2029-01-25 00:00:00,0,
CD000117,A0002957,Debit,2022-11-19 00:00:00,2022-11-21 00:00:00,Active,Mastercard,2027-11-19 00:00:00,0,
CD000118,A0003085,Credit,2022-06-17 00:00:00,2022-06-22 00:00:00,Blocked,Visa,2027-06-17 00:00:00,0,Lost
CD000119,A0002994,Debit,2023-10-10 00:00:00,2023-10-17 00:00:00,Active,Mastercard,2028-10-10 00:00:00,1,
CD000120,A0000366,Debit,2023-01-21 00:00:00,2023-01-23 00:00:00,Active,Visa,2028-01-21 00:00:00,0,
CD000121,A0005932,Debit,2025-09-12 00:00:00,2025-09-17 00:00:00,Active,RuPay,2030-09-12 00:00:00,2,
CD000122,A0004288,Credit,2022-04-03 00:00:00,2022-04-07 00:00:00,Inactive,Mastercard,2027-04-03 00:00:00,3,
CD000123,A0001266,Debit,2025-06-14 00:00:00,2025-06-14 00:00:00,Inactive,Visa,2030-06-14 00:00:00,0,
CD000124,A0004279,Debit,2023-09-12 00:00:00,2023-09-12 00:00:00,Active,Mastercard,2028-09-12 00:00:00,0,
CD000125,A0000006,Debit,2024-12-20 00:00:00,2024-12-20 00:00:00,Active,Visa,2029-12-20 00:00:00,1,
CD000126,A0004960,Credit,2023-04-06 00:00:00,2023-04-06 00:00:00,Active,Mastercard,2028-04-06 00:00:00,0,
CD000127,A0005990,Debit,2025-01-20 00:00:00,2025-01-24 00:00:00,Active,Mastercard,2030-01-20 00:00:00,0,
CD000128,A0003619,Debit,2022-11-29 00:00:00,2022-12-02 00:00:00,Active,RuPay,2027-11-29 00:00:00,0,
CD000129,A0002796,Debit,2024-10-15 00:00:00,2024-10-20 00:00:00,Active,Visa,2029-10-15 00:00:00,1,
CD000130,A0006108,Credit,2024-02-15 00:00:00,2024-02-20 00:00:00,Blocked,Visa,2029-02-15 00:00:00,0,Lost
CD000131,A0003251,Debit,2022-03-10 00:00:00,2022-03-10 00:00:00,Active,RuPay,2027-03-10 00:00:00,0,
CD000132,A0001614,Debit,2025-02-10 00:00:00,2025-02-15 00:00:00,Active,Mastercard,2030-02-10 00:00:00,1,
CD000133,A0001463,Credit,2022-09-10 00:00:00,2022-09-15 00:00:00,Active,RuPay,2027-09-10 00:00:00,0,
CD000134,A0002433,Debit,2023-10-21 00:00:00,2023-10-24 00:00:00,Active,Mastercard,2028-10-21 00:00:00,0,
CD000135,A0005631,Debit,2024-06-22 00:00:00,2024-06-25 00:00:00,Active,RuPay,2029-06-22 00:00:00,0,
CD000136,A0004242,Debit,2023-04-25 00:00:00,2023-04-29 00:00:00,Active,RuPay,2028-04-25 00:00:00,0,
