Complaint_ID,Customer_ID,Account_ID,Complaint_Type,Channel,Created_Date,Priority,Assigned_Team,Status,Resolved_Date,Resolution_Hours,SLA_Status,Escalated,Root_Cause
CP0000001,C004193,A0006001,Card Issue,Call Center,2025-06-01 21:00:00,Medium,Branch Ops,Resolved,2025-06-03 13:00:00,40.0,Within SLA,No,Card Processing
CP0000002,C001794,A0001038,Billing/Charges,Email,2024-09-03 12:00:00,Medium,Account Ops,Closed,2024-09-05 14:00:00,50.0,Breached,Yes,Fee/Charge Dispute
CP0000003,C003852,A0002624,Transaction Failure,Call Center,2025-09-28 06:00:00,High,Account Ops,Resolved,2025-09-28 19:00:00,13.0,Within SLA,No,System/Network
CP0000004,C002612,A0004830,Transaction Failure,Call Center,2025-06-29 15:00:00,Medium,Digital Support,Resolved,2025-07-01 14:00:00,47.0,Breached,Yes,System/Network
CP0000005,C003350,A0004804,Digital Banking Issue,Call Center,2025-11-25 02:00:00,High,Payments Team,Pending,,,Open,No,App/System
CP0000006,C002338,A0001292,Billing/Charges,Email,2025-06-21 14:00:00,Low,Branch Ops,Pending,,,Open,No,Fee/Charge Dispute
CP0000007,C001110,A0005069,Account Issue,Call Center,2025-08-08 01:00:00,Medium,Digital Support,Pending,,,Open,No,Operations
CP0000008,C001820,A0001657,Account Issue,Mobile App,2025-12-08 14:00:00,Medium,Digital Support,Resolved,2025-12-09 10:00:00,20.0,Within SLA,No,Operations
CP0000009,C003648,A0000568,Transaction Failure,Call Center,2026-01-22 11:00:00,Medium,Payments Team,Resolved,2026-01-25 01:00:00,62.0,Breached,Yes,System/Network
CP0000010,C003694,A0001862,Account Issue,Branch,2024-06-10 13:00:00,Medium,Branch Ops,Pending,,,Open,No,Operations
CP0000011,C002105,A0003384,ATM Issue,Call Center,2025-10-13 17:00:00,Medium,Payments Team,Resolved,2025-10-15 08:00:00,39.0,Within SLA,No,ATM/Network
CP0000012,C004221,A0003868,Digital Banking Issue,Email,2025-12-09 20:00:00,Low,Branch Ops,Resolved,2025-12-12 17:00:00,69.0,Breached,Yes,App/System
CP0000013,C003611,A0003754,ATM Issue,Web,2025-07-21 19:00:00,High,Payments Team,Resolved,2025-07-22 14:00:00,19.0,Within SLA,No,ATM/Network
CP0000014,C003589,A0006298,Billing/Charges,Web,2025-04-02 09:00:00,High,Cards Team,Resolved,2025-04-03 02:00:00,17.0,Within SLA,No,Fee/Charge Dispute
CP0000015,C000980,A0004383,Billing/Charges,Mobile App,2024-09-27 16:00:00,Medium,Digital Support,Resolved,2024-09-28 15:00:00,23.0,Within SLA,No,Fee/Charge Dispute
CP0000016,C001609,A0003421,Card Issue,Branch,2024-06-16 20:00:00,Critical,Digital Support,Resolved,2024-06-19 18:00:00,70.0,Breached,Yes,Card Processing
CP0000017,C000972,A0000395,ATM Issue,Mobile App,2025-09-05 06:00:00,High,Digital Support,Resolved,2025-09-07 17:00:00,59.0,Breached,Yes,ATM/Network
CP0000018,C003238,A0005148,Transaction Failure,Call Center,2024-07-28 18:00:00,Medium,Branch Ops,In Progress,,,Open,No,System/Network
