Payment_ID,Loan_ID,Due_Date,Payment_Date,EMI_Amount,Amount_Paid,Payment_Status,Days_Past_Due,Payment_Mode
LP00000001,L000001,2023-07-22 00:00:00,2023-09-15 00:00:00,5632.65,2927.77,Overdue,55,UPI
LP00000002,L000001,2023-08-22 00:00:00,2023-08-22 00:00:00,5632.65,5632.65,Paid,0,NEFT
LP00000003,L000001,2023-09-22 00:00:00,2023-09-22 00:00:00,5632.65,5632.65,Paid,0,UPI
LP00000004,L000001,2023-10-22 00:00:00,2023-10-22 00:00:00,5632.65,5632.65,Paid,0,NEFT
LP00000005,L000001,2023-11-22 00:00:00,2023-11-22 00:00:00,5632.65,5632.65,Paid,0,Branch
LP00000006,L000001,2023-12-22 00:00:00,2023-12-22 00:00:00,5632.65,5632.65,Paid,0,Auto Debit
LP00000007,L000001,2024-01-22 00:00:00,2024-01-22 00:00:00,5632.65,5632.65,Paid,0,NEFT
LP00000008,L000001,2024-02-22 00:00:00,2024-02-22 00:00:00,5632.65,5632.65,Paid,0,Auto Debit
LP00000009,L000001,2024-03-22 00:00:00,2024-03-22 00:00:00,5632.65,5632.65,Paid,0,Branch
LP00000010,L000001,2024-04-22 00:00:00,2024-04-22 00:00:00,5632.65,5632.65,Paid,0,Branch
LP00000011,L000001,2024-05-22 00:00:00,2024-07-02 00:00:00,5632.65,4228.52,Overdue,41,UPI
LP00000012,L000001,2024-06-22 00:00:00,2024-06-22 00:00:00,5632.65,5632.65,Paid,0,Auto Debit
LP00000013,L000002,2026-07-09 00:00:00,2026-07-09 00:00:00,1000.0,1000.0,Paid,0,UPI
LP00000014,L000006,2025-05-19 00:00:00,2025-05-19 00:00:00,9558.0,9558.0,Paid,0,Auto Debit
LP00000015,L000006,2025-06-19 00:00:00,2025-06-19 00:00:00,9558.0,9558.0,Paid,0,Auto Debit
LP00000016,L000006,2025-07-19 00:00:00,2025-10-12 00:00:00,9558.0,5060.75,Overdue,85,NEFT
LP00000017,L000006,2025-08-19 00:00:00,2025-08-19 00:00:00,9558.0,9558.0,Paid,0,UPI
