Loan_ID,Customer_ID,Branch_ID,Loan_Type,Application_Date,Loan_Amount,Loan_Status,Approval_Date,Disbursement_Date,Interest_Rate,Tenure_Months,Outstanding_Amount,Credit_Score_Band
L000001,C004112,B014,Home,2023-06-07 00:00:00,1251700.0,Disbursed,2023-06-16 00:00:00,2023-06-22 00:00:00,9.19,240,652184.47,600-699
L000002,C001836,B021,Personal,2026-05-30 00:00:00,44300.0,Disbursed,2026-05-31 00:00:00,2026-06-09 00:00:00,14.66,240,23110.5,700-749
L000003,C002891,B022,Personal,2023-12-13 00:00:00,3120100.0,Approved,2023-12-17 00:00:00,,11.57,120,0.0,700-749
L000004,C001855,B013,Home,2024-05-15 00:00:00,529800.0,Rejected,,,15.31,24,0.0,750+
L000005,C003928,B029,Home,2024-11-01 00:00:00,1334000.0,Rejected,,,11.72,120,0.0,750+
L000006,C000287,B009,Personal,2025-04-16 00:00:00,318600.0,Disbursed,2025-04-18 00:00:00,2025-04-19 00:00:00,16.65,36,166961.51,750+
L000007,C000212,B025,Home,2024-06-01 00:00:00,157600.0,Disbursed,2024-06-09 00:00:00,2024-06-18 00:00:00,13.97,12,41158.82,750+
L000008,C003313,B005,Business,2025-05-23 00:00:00,783900.0,Disbursed,2025-05-31 00:00:00,2025-06-08 00:00:00,15.08,12,436085.11,600-699
L000009,C002198,B010,Business,2024-04-01 00:00:00,481500.0,Disbursed,2024-04-07 00:00:00,2024-04-09 00:00:00,9.9,180,250569.68,600-699
L000010,C002209,B028,Vehicle,2025-07-23 00:00:00,831500.0,Disbursed,2025-07-31 00:00:00,2025-08-09 00:00:00,15.72,24,303159.1,700-749
L000011,C003973,B014,Vehicle,2023-12-05 00:00:00,454300.0,Disbursed,2023-12-16 00:00:00,2023-12-25 00:00:00,11.61,36,202115.91,750+
L000012,C004032,B015,Personal,2023-04-30 00:00:00,68700.0,Disbursed,2023-05-02 00:00:00,2023-05-03 00:00:00,11.93,12,50787.84,750+
L000013,C002760,B020,Personal,2024-11-21 00:00:00,1833300.0,Approved,2024-11-30 00:00:00,,8.4,120,0.0,700-749
L000014,C001924,B025,Personal,2023-12-09 00:00:00,569200.0,Closed,2023-12-23 00:00:00,2023-12-29 00:00:00,17.87,60,0.0,<600
L000015,C002899,B019,Business,2023-06-29 00:00:00,446300.0,Disbursed,2023-07-13 00:00:00,2023-07-18 00:00:00,9.52,180,294162.87,600-699
L000016,C003207,B030,Home,2025-01-22 00:00:00,435400.0,Rejected,,,12.21,48,0.0,700-749
L000017,C000333,B021,Home,2023-09-14 00:00:00,133700.0,Disbursed,2023-09-22 00:00:00,2023-09-28 00:00:00,15.37,240,113724.67,750+
L000018,C000483,B027,Personal,2025-07-10 00:00:00,559000.0,Disbursed,2025-07-12 00:00:00,2025-07-19 00:00:00,16.79,240,211375.86,600-699
L000019,C001711,B013,Home,2025-12-05 00:00:00,73000.0,Disbursed,2025-12-17 00:00:00,2025-12-25 00:00:00,17.56,36,18902.01,750+
L000020,C003397,B026,Vehicle,2023-04-10 00:00:00,295700.0,Closed,2023-04-17 00:00:00,2023-04-23 00:00:00,15.27,240,0.0,750+
L000021,C003881,B010,Vehicle,2025-11-14 00:00:00,585000.0,Approved,2025-11-25 00:00:00,,12.64,120,0.0,750+
L000022,C002594,B011,Personal,2024-02-03 00:00:00,251400.0,Disbursed,2024-02-09 00:00:00,2024-02-12 00:00:00,15.58,180,83082.56,700-749
L000023,C000348,B009,Education,2026-06-12 00:00:00,288200.0,Disbursed,2026-06-20 00:00:00,2026-06-29 00:00:00,10.36,180,192988.99,600-699
L000024,C004347,B003,Vehicle,2026-02-21 00:00:00,143100.0,Disbursed,2026-02-22 00:00:00,2026-03-01 00:00:00,14.07,12,58005.19,750+
L000025,C001905,B029,Personal,2025-02-16 00:00:00,320200.0,Disbursed,2025-03-02 00:00:00,2025-03-07 00:00:00,17.43,24,172538.81,600-699
L000026,C004820,B005,Education,2026-03-09 00:00:00,297200.0,Approved,2026-03-14 00:00:00,,13.76,48,0.0,750+
L000027,C000530,B012,Personal,2025-08-09 00:00:00,1268800.0,Rejected,,,14.67,120,0.0,600-699
L000028,C002570,B001,Business,2025-03-22 00:00:00,130700.0,Rejected,,,14.35,48,0.0,750+
L000029,C001398,B021,Education,2023-02-25 00:00:00,226500.0,Approved,2023-03-09 00:00:00,,11.92,36,0.0,700-749
L000030,C002164,B011,Vehicle,2023-04-27 00:00:00,84600.0,Disbursed,2023-05-04 00:00:00,2023-05-12 00:00:00,8.64,60,25717.49,700-749
L000031,C004237,B024,Personal,2023-11-11 00:00:00,36600.0,Disbursed,2023-11-22 00:00:00,2023-11-28 00:00:00,9.84,24,17561.28,750+
L000032,C000611,B027,Home,2024-10-04 00:00:00,1914600.0,Approved,2024-10-17 00:00:00,,7.71,36,0.0,600-699
L000033,C001453,B006,Personal,2025-11-28 00:00:00,723900.0,Disbursed,2025-12-06 00:00:00,2025-12-10 00:00:00,12.89,180,631014.82,750+
L000034,C002799,B009,Home,2024-09-20 00:00:00,126300.0,Disbursed,2024-10-04 00:00:00,2024-10-06 00:00:00,17.84,120,46715.12,700-749
L000035,C001335,B004,Home,2025-09-04 00:00:00,313000.0,Disbursed,2025-09-05 00:00:00,2025-09-10 00:00:00,8.31,120,164148.49,<600
L000036,C001706,B027,Home,2024-11-23 00:00:00,1007500.0,Disbursed,2024-12-01 00:00:00,2024-12-03 00:00:00,15.04,36,290404.25,600-699
L000037,C001370,B010,Vehicle,2026-04-12 00:00:00,556600.0,Disbursed,2026-04-18 00:00:00,2026-04-27 00:00:00,17.73,180,175000.98,600-699
L000038,C004717,B012,Education,2026-04-10 00:00:00,264400.0,Rejected,,,7.17,120,0.0,<600
L000039,C001442,B017,Home,2023-09-02 00:00:00,1103900.0,Disbursed,2023-09-03 00:00:00,2023-09-12 00:00:00,17.78,12,558208.2,700-749
L000040,C002553,B030,Home,2024-06-14 00:00:00,745300.0,Rejected,,,11.93,120,0.0,700-749
L000041,C003227,B012,Home,2023-04-11 00:00:00,109700.0,Disbursed,2023-04-23 00:00:00,2023-04-27 00:00:00,8.88,12,97620.15,700-749
L000042,C002211,B001,Personal,2025-06-29 00:00:00,282900.0,Closed,2025-07-11 00:00:00,2025-07-20 00:00:00,12.5,48,0.0,600-699
L000043,C003903,B030,Personal,2026-02-25 00:00:00,810900.0,Rejected,,,15.5,24,0.0,750+
L000044,C003861,B023,Home,2023-06-26 00:00:00,241200.0,Closed,2023-07-07 00:00:00,2023-07-09 00:00:00,16.31,24,0.0,750+
L000045,C001636,B017,Business,2025-05-05 00:00:00,39900.0,Disbursed,2025-05-07 00:00:00,2025-05-10 00:00:00,14.7,120,33577.05,600-699
L000046,C003372,B008,Home,2024-11-13 00:00:00,312600.0,Disbursed,2024-11-16 00:00:00,2024-11-19 00:00:00,13.67,12,193516.58,750+
L000047,C002451,B023,Business,2025-06-13 00:00:00,1419200.0,Disbursed,2025-06-14 00:00:00,2025-06-17 00:00:00,10.7,12,588545.74,<600
L000048,C004997,B011,Home,2024-04-01 00:00:00,3868600.0,Disbursed,2024-04-10 00:00:00,2024-04-13 00:00:00,9.0,48,2854085.26,600-699
L000049,C001892,B015,Home,2024-04-01 00:00:00,3505100.0,Disbursed,2024-04-13 00:00:00,2024-04-18 00:00:00,10.05,36,2840570.98,750+
L000050,C000464,B015,Vehicle,2024-02-15 00:00:00,884000.0,Disbursed,2024-02-19 00:00:00,2024-02-28 00:00:00,17.78,12,512873.7,750+
L000051,C003168,B024,Personal,2026-03-18 00:00:00,1602600.0,Disbursed,2026-03-24 00:00:00,2026-03-31 00:00:00,16.08,36,1181446.94,600-699
L000052,C004393,B027,Vehicle,2024-01-29 00:00:00,286300.0,Disbursed,2024-02-05 00:00:00,2024-02-06 00:00:00,12.12,24,186311.03,700-749
L000053,C003845,B028,Personal,2024-10-21 00:00:00,311000.0,Approved,2024-10-25 00:00:00,,16.45,12,0.0,<600
L000054,C003216,B016,Education,2025-02-21 00:00:00,196900.0,Disbursed,2025-02-24 00:00:00,2025-03-05 00:00:00,16.26,120,117587.92,600-699
L000055,C000373,B030,Education,2023-02-10 00:00:00,267500.0,Disbursed,2023-02-17 00:00:00,2023-02-18 00:00:00,9.5,240,141104.9,600-699
L000056,C001239,B004,Home,2025-01-10 00:00:00,25900.0,Approved,2025-01-17 00:00:00,,9.44,240,0.0,600-699
L000057,C003934,B019,Vehicle,2025-09-15 00:00:00,1988300.0,Disbursed,2025-09-20 00:00:00,2025-09-29 00:00:00,7.9,240,1869536.68,750+
L000058,C002921,B028,Vehicle,2025-10-28 00:00:00,529100.0,Rejected,,,12.16,12,0.0,700-749
L000059,C001433,B007,Personal,2024-09-27 00:00:00,1683400.0,Disbursed,2024-10-06 00:00:00,2024-10-12 00:00:00,8.7,36,518027.74,750+
L000060,C003785,B024,Vehicle,2024-02-06 00:00:00,670100.0,Closed,2024-02-16 00:00:00,2024-02-20 00:00:00,13.76,180,0.0,<600
L000061,C001436,B026,Business,2025-11-07 00:00:00,61000.0,Disbursed,2025-11-16 00:00:00,2025-11-23 00:00:00,17.44,12,18121.59,600-699
L000062,C002772,B013,Education,2025-11-17 00:00:00,650800.0,Rejected,,,14.54,180,0.0,750+
L000063,C001501,B008,Vehicle,2024-02-16 00:00:00,995200.0,Disbursed,2024-02-27 00:00:00,2024-02-29 00:00:00,17.17,240,782102.12,750+
L000064,C002537,B002,Business,2023-08-19 00:00:00,91200.0,Approved,2023-09-01 00:00:00,,10.95,60,0.0,600-699
L000065,C001431,B016,Personal,2025-07-16 00:00:00,236200.0,Rejected,,,8.42,240,0.0,750+
L000066,C000890,B019,Business,2023-07-27 00:00:00,666300.0,Disbursed,2023-07-29 00:00:00,2023-08-06 00:00:00,16.41,240,439905.1,700-749
L000067,C003252,B015,Business,2024-10-19 00:00:00,911700.0,Disbursed,2024-10-31 00:00:00,2024-11-02 00:00:00,14.7,180,439500.65,600-699
