Request_ID,Customer_ID,Account_ID,Request_Type,Created_Date,Assigned_Team,Priority,SLA_Hours,Resolved_Date,Status,Resolution_Hours,Escalation_Flag
SR0000001,C000136,A0000994,Email Update,2025-07-31 19:00:00,Cards Team,Low,24,,In Progress,,No
SR0000002,C003209,A0004787,Email Update,2024-05-15 17:00:00,KYC Team,Low,24,2024-05-16 13:00:00,Resolved,20.0,Yes
SR0000003,C003698,A0000095,KYC Update,2025-01-14 12:00:00,Customer Service,Medium,72,2025-01-16 10:00:00,Resolved,46.0,No
SR0000004,C002685,A0003329,Account Activation,2026-01-31 07:00:00,Cards Team,Medium,72,,Pending,,No
SR0000005,C001497,A0004175,Debit Card Request,2025-10-07 23:00:00,Customer Service,Medium,24,2025-10-09 08:00:00,Resolved,33.0,Yes
SR0000006,C001779,A0006322,Account Closure,2024-08-27 17:00:00,Branch Ops,Medium,48,,In Progress,,No
SR0000007,C001953,A0003888,KYC Update,2025-02-11 03:00:00,Account Ops,Medium,24,2025-02-12 18:00:00,Resolved,39.0,Yes
SR0000008,C004371,A0001860,KYC Update,2025-02-11 04:00:00,Account Ops,Medium,24,2025-02-13 10:00:00,Resolved,54.0,Yes
SR0000009,C004275,A0001635,KYC Update,2024-08-29 04:00:00,Cards Team,Medium,48,2024-08-30 20:00:00,Closed,40.0,No
SR0000010,C002550,A0003797,Debit Card Request,2024-07-21 05:00:00,KYC Team,Medium,72,2024-07-21 13:00:00,Resolved,8.0,No
SR0000011,C000541,A0002291,Debit Card Request,2024-12-03 10:00:00,Account Ops,Low,48,2024-12-04 18:00:00,Resolved,32.0,No
SR0000012,C004151,A0003144,KYC Update,2026-03-06 22:00:00,Cards Team,Low,48,2026-03-10 17:00:00,Resolved,91.0,Yes
SR0000013,C003503,A0000170,Mobile Update,2024-07-20 10:00:00,Customer Service,Medium,48,2024-07-20 19:00:00,Resolved,9.0,No
SR0000014,C003218,A0004168,Debit Card Request,2024-07-21 20:00:00,Branch Ops,Low,48,2024-07-23 03:00:00,Resolved,31.0,No
SR0000015,C003820,A0003639,Mobile Update,2024-03-16 22:00:00,Customer Service,Medium,24,2024-03-19 12:00:00,Resolved,62.0,Yes
SR0000016,C001562,A0005962,Name Change,2024-10-04 23:00:00,Branch Ops,Low,48,2024-10-05 19:00:00,Resolved,20.0,No
SR0000017,C000531,A0004761,Debit Card Request,2025-11-05 02:00:00,KYC Team,Medium,24,2025-11-09 20:00:00,Resolved,114.0,Yes
SR0000018,C002022,A0002223,Email Update,2025-11-18 04:00:00,KYC Team,High,24,2025-11-23 06:00:00,Resolved,122.0,Yes
