Transaction_ID,Account_ID,Transaction_Date,Transaction_Type,Channel,Amount,Debit_Credit,Transaction_Status,Failure_Reason
T00000001,A0003903,2025-08-21 00:00:00,Bill Payment,UPI,3852.48,Debit,Success,
T00000002,A0004949,2025-08-04 00:00:00,Transfer,UPI,113.58,Debit,Success,
T00000003,A0002840,2026-02-27 00:00:00,Deposit,UPI,7723.46,Debit,Success,
T00000004,A0000094,2024-02-03 00:00:00,Purchase,IMPS,601.03,Debit,Success,
T00000005,A0001921,2026-05-27 00:00:00,Transfer,POS,6406.68,Credit,Success,
T00000006,A0001538,2026-03-09 00:00:00,Transfer,Branch,35538.91,Debit,Success,
T00000007,A0002279,2025-12-03 00:00:00,Bill Payment,UPI,1093.96,Debit,Failed,Authentication Failed
T00000008,A0004582,2024-09-18 00:00:00,Purchase,UPI,4353.52,Credit,Success,
T00000009,A0004054,2025-01-18 00:00:00,Purchase,ATM,9260.27,Debit,Success,
T00000010,A0006163,2024-05-31 00:00:00,Transfer,UPI,1548.79,Debit,Success,
T00000011,A0004150,2024-06-22 00:00:00,Bill Payment,UPI,8552.78,Credit,Success,
T00000012,A0001927,2024-06-22 00:00:00,Purchase,UPI,3638.53,Debit,Success,
T00000013,A0006065,2024-10-01 00:00:00,Purchase,ATM,415.52,Debit,Success,
T00000014,A0006451,2025-06-13 00:00:00,Purchase,UPI,5172.9,Debit,Success,
T00000015,A0005175,2024-01-06 00:00:00,Cash Withdrawal,UPI,2085.94,Debit,Success,
T00000016,A0000651,2024-05-17 00:00:00,Purchase,POS,4801.19,Debit,Success,
T00000017,A0004858,2024-01-25 00:00:00,Bill Payment,Mobile Banking,841.44,Debit,Success,
T00000018,A0003674,2025-08-14 00:00:00,Deposit,NEFT,3174.5,Credit,Success,
T00000019,A0005155,2025-08-22 00:00:00,Bill Payment,UPI,1900.21,Debit,Success,
T00000020,A0003174,2026-04-14 00:00:00,Cash Withdrawal,IMPS,1918.26,Credit,Success,
T00000021,A0000111,2026-03-13 00:00:00,Purchase,NEFT,7700.31,Credit,Success,
T00000022,A0006363,2026-04-09 00:00:00,Cash Withdrawal,Branch,3883.8,Credit,Failed,Technical Error
T00000023,A0006374,2024-11-18 00:00:00,Bill Payment,Mobile Banking,46975.12,Credit,Success,
T00000024,A0004446,2025-09-11 00:00:00,Purchase,Branch,6463.36,Credit,Success,
T00000025,A0006223,2025-05-03 00:00:00,Transfer,POS,1416.39,Debit,Success,
T00000026,A0001498,2024-08-25 00:00:00,Purchase,UPI,461.24,Credit,Success,
T00000027,A0001507,2026-06-16 00:00:00,Deposit,UPI,2572.18,Debit,Success,
